news,off
"But on Monday, the top federal prosecutor in Manhattan criticized the de Blasio administration for the first time, suggesting that New York officials were not moving quickly enough to make reforms at Rikers and warning that his office stood ready to file a civil rights lawsuit against the city to force changes.",0
"""Afraid of what people will think, afraid of what the doctor will say.""",0
"According to a Senate financial disclosure report, Mr. Inhofe bought $50,000 to $100,000 worth of stock on Tuesday in Raytheon, a major Massachusetts-based defense contractor that has won billions of dollars in missile contracts from the Pentagon.",0
""" Some tax experts have questioned whether some of the small, out-of-the-way museums that are on or close to a donor's property -- like the Brant study center (founded by the newsprint magnate Peter Brant) or Glenstone (created by Mitchell Rales) -- meet I.R.S. guidelines.",0
"""It's a lose-lose situation for them,"" said Amy Brundage, a former aide in the Obama administration who is helping run a new nonprofit group called the Constitutional Responsibility Project, which is helping push for Judge Garland's confirmation.",0
"Until recently, all the leading candidates had abandoned the public system in favor of raising and spending far more in private donations.",0
"The report card, issued annually, covers the period since 2002, during which, according to the health department, 364,000 more New Yorkers reported having a primary doctor (for a total of 4.8 million), and 300,000 quit smoking, bringing the percentage of city residents who smoke to 16.9 percent from 21.5 percent.",0
The investigation found that top university officials had shown a disregard for the welfare of children and actively concealed Sandusky's assaults because they feared that the publicity would hurt the football program.,0
"For supporters of stronger regulation, it comes down to a choice between someone they do not know and someone they do not trust.",0
"Now the program that was set up to help them cope with cancer, they say, has turned out to be excessively complicated and arbitrary, requiring decades-old employment records that in many cases are incomplete or cannot be found.",0
Mr. Moodie is now president of the Chemical and Biological Arms Control Institute.,0
"Leaders of the two chambers were unable to resolve a disagreement over a number of special items demanded by the Senate, but in late-night talks, the Senate dropped many of its requests, officials said.",1
"For instance, they delivered information from Mr. Obama's search team to him by hand -- often in unmarked three-ring binders -- either themselves or by having a senior staff member ferry materials from Washington to Chicago.",0
"Congressional leaders and administration officials negotiated through the day on Monday, and Senate leaders scheduled a session for Tuesday afternoon, signaling optimism that they could resolve the issue and quickly approve the funds without a formal vote that would require senators to return to Washington.",0
"Anyway, Mr. Comey reports directly to the attorney general, Jeff Sessions, who was not only Mr. Trump's first and most ardent supporter in the Senate, but the chairman of the Trump campaign's national security advisory committee.",0
"An NBC spokesman said that Mr. Lewandowski met on Monday with MSNBC executives to discuss a possible contributor contract, and that the network declined to make an offer.",1
"""This is a great thing for the commonwealth,"" he said, according to The Boston Globe, arguing that the pact would prompt businesses to develop clean and renewable energy technology.",0
"In his first months in the job, Mr. Gonzales is promoting a softer image for the Justice Department and seeking to burnish two legacies: the department's often strained relations with Congress under his predecessor, John Ashcroft; and criticism of his own role in formulating the Bush administration's policies on torture, which led to a closer-than-expected Senate vote of 60 to 36 in favor of his confirmation.",0
And Mrs. Clinton's aides moved to define Mr. Lazio to New Yorkers before he could.,0
"The investigation by The Times found that the military did not follow its own health care guidelines in the initial care of many patients, and did not establish a means for following their health over time, as the guidelines also required.",0
"Some top agency officials are simply ""incompetent,"" she added, and real change can occur only with a new administration.",0
"""It's going to take much longer to thaw the economy than it took to freeze it,"" said Diane Swonk, chief economist for the accounting firm Grant Thornton.",0
"Even then, one administration official said, ""We didn't think they would actually do it.""",1
"""They're basically taking Obamacare and changing it around the margins,"" said Adam Jentleson, a former senior aide to Harry Reid , who led Senate Democrats when the law was passed.",0
"If you think politics factor into your adviser's strategy for your nest egg, ask for explanations.",0
A spokesman for the state treasurer said the $90 million transfer had to do with the way the state kept track of its funds and would not reduce the trust fund.,1
"A political adviser urged Mr. Clinton to choose an administration ally, but that was never seriously considered.",0
"One of the curiosities of the White House and State Department attacks is that the administration, which recently has been looking to name and punish state and nonstate hackers in an effort to deter attacks, has refused to reveal its conclusions about who was responsible for this complex and artful intrusion into the government.",0
"According to polls of voters leaving their polling places last month, Mr. Bush won 31 percent of the Hispanic vote, the most of any Republican presidential candidate since surveys of voters leaving the polls have been taken, but he took less than 10 percent of the black vote.",1
"In all, federal health officials are monitoring 143 people, a roster that includes contacts of Mr. Duncan's, and of the two nurses, according to the C.D.C.",0
But she said there was no scientist available to explain the change.,0
"State water officials do not consider climate change when planning for Texas' future, and legislators will not ask them to anytime soon, said State Senator Troy Fraser, a Republican and chairman of the Senate Natural Resources Committee.",0
"Mr. Foxwell said Commander Perry had called him to discuss the exposure, and told him that Mr. Hagel ""has expressed that he wants the situation fixed.""",0
"There Representative Bob Wise defeated the Republican incumbent, Cecil H. Underwood, at 78 the nation's oldest governor.",0
Senate Republican leaders and White House officials fought efforts to adopt a so-called pay-as-you-go rule.,0
"By the end of the conversation, Mr. Bloomberg was so taken with Mr. Cuomo that he instructed his aides to prepare for an endorsement.",0
"In the rare news conference, Mr. Wolf said he called the mayor of Portland and the governor of Oregon this month to work with them to protect the federal courthouse downtown but was met with resistance.",0
A Justice Department spokeswoman declined to comment.,0
Senate Democrats have introduced a tax relief bill that is linked specifically to companies hiring new employees.,0
"At a news conference in Boston, officials from New York and Massachusetts said that Morgan Stanley had created improper financial incentives for its brokers to sell mutual funds that may not be in their clients' best interests.",1
"But he was a known quantity to the loyal audiences of radio personalities like Ms. Ingraham and Mark Levin, a Reagan aide and a revered figure in the conservative movement, and Breitbart.com, the website founded by the provocateur Andrew Breitbart.",0
"Battleground Texas, started by former Obama operatives who want to turn the state away from its Republican devotions, is trying to register new voters, identify Democrats and turn them out for this year's elections.",0
"Among those officials Mr. Kerik dismissed when he became commissioner was the department's budget director, who Mr. Kerik said had not moved quickly enough to rectify problems he wanted solved.",0
"Fully decarbonizing the world's cement, steel, plastics, trucking, shipping and aviation sectors by 2050 could require investing some 0.5 percent of global G.D.P. a year using mostly existing technology, according to the Energy Transitions Commission.",0
Mr. Weinberger said he did not yet have an estimate of how much money was involved.,0
"""Most people are saying this vote is taking place at the wrong time,"" said Dariush Zahedi, an Iran sanctions expert who is now a political science lecturer at the University of California, Berkeley.",0
"Each of the candidates say that the top issue is housing, specifically the concerns of residents that they might be priced out of the district because of the development of upper-middle-class and luxury apartments.",1
"But other Democrats and independent political strategists say that her celebrity is a double-edged sword: While Mrs. Clinton does indeed enjoy a level of name recognition other politicians crave, she has earned a reputation that, fairly or not, makes her a polarizing figure among moderate swing voters, an important bloc nationally.",1
"Mr. Trump had promised the check to Sergeant Baldridge's father, Chris, in a phone call a few weeks after his son's death, according to The Washington Post.",0
"But on a conference call the morning after the debate, Mr. Obama told his advisers that he had meant what he said and thought the answer crystallized how he differed from his rivals.",0
"Yet the rumors persist, if only because many World Bank officials say they would love to have him as the next president should Mr. Wolfensohn leave.",1
He noted a looming deadline to submit a state budget in January.,0
"A veteran researcher said the staff had been told that the cuts would be concentrated among researchers in wind and biomass, which includes ethanol.",1
"The notes used code names for plans involving informants, calling them ""capers"" or ""operations.""",0
"Earlier Saturday, one of the president's senior appointees at the Department of Housing and Urban Development, Lynne Patton, posted a headline about Mr. Epstein's death on Instagram, perpetuating a debunked right-wing narrative.",0
"Some of the former Inhofe staff members noted that they were not surprised to see their former boss raise questions about Mr. Pruitt once the allegations about Mr. Pruitt's ethical lapses touched his home state. """,1
"The fainting episode occurred after Mrs. Clinton, who is being widely discussed as a possible presidential candidate in 2016, became dehydrated because of a stomach virus she contracted during a trip to Europe, according to statements released by a close adviser and her doctors.",0
"She tried through translators to convey her sorrow over what had happened, American officials said; the child's grandparents spoke no English or French, only Mofu.",1
"While most watchdog groups and experts in campaign finance focused on how to change the system, Dr. Dean's Democratic rivals have begun to attack him for considering opting out.",0
"The controversy over the F.B.I. informant is one skirmish in a searing political battle that was renewed on Thursday during a contentious hearing convened by the House Judiciary and Oversight Committees that heard testimony from Peter Strzok, an F.B.I. agent who once ran the bureau's investigation into the Trump campaign.",0
"Mr. Black and his companies paid millions in fees to Southern Trust Company, which Mr. Epstein set up in the Virgin Islands in 2013, according to three people briefed on the matter who spoke on the condition of anonymity because they were not authorized to speak publicly.",1
"Ed Derman, deputy chief executive of the California State Teachers' Retirement System, said he was concerned the fund would have to use the board's new method, making it a lightning rod for critics who say public workers' benefits cost too much.",0
"It is the question of the year, which means it was a big deal in the last election and makes for easy, if sometimes flaky, analysis.",0
Economists said increased government spending could have a substantial effect on the economy.,1
"On Thursday, Mr. Bryan presented a graphic to the room, according to four people briefed on the events.",1
"Ms. Warren worked with Emmanuel Saez and Gabriel Zucman, two respected economists at the University of California, Berkeley, whose research focuses on income inequality.",0
"Dozens of experts said in interviews that there were simply too many players, both commercial and governmental, and too many conflicting interests.",1
"Those who know Mr. de Blasio say he may ask developers who want to build taller towers for more in return than the Bloomberg administration did, including low-cost housing.",1
"In March, The New York Times and other news organizations reported that some doctors were prescribing themselves and their family members hydroxychloroquine and hoarding supplies, according to pharmacy boards across the country.",0
"Amy Brundage, a White House spokeswoman, said the administration was ""hopeful that the Senate will confirm the three pending nominees without delay.",0
Several of Mrs. DeLay's former colleagues have been interviewed by the F.B.I. to determine if she was actually performing work for her paycheck.,0
"Mr. Thorburn has been with Goldman in New York since March 2014, according to public records kept with the Financial Industry Regulatory Authority, which is Wall Street's self-regulatory body.",0
"""It means that, if the Brotherhood chooses, Parliament can be an Islamists affair -- a debate between liberal Islamists, moderate Islamists and conservatives Islamists, and that is it,"" Michael Wahid Hanna, an Egyptian-born researcher at the Century Foundation in Cairo, said this week.",0
"The Venezuelan defense minister declared that the armed forces, long a bastion of support for Mr. Maduro, remained behind him, but much depends on whether the rank and file will follow.",0
"As in many vacation towns, affordable housing is increasingly scarce, according to town officials.",1
"Four years ago, Mr. Sanders had nominally lent his support to Hillary Clinton, but continued to assert that he had been mistreated during a contentious primary by biased party officials, pointing to hacked emails that showed some of them had preferred Mrs. Clinton.",0
"The barrage of anti-Gingrich ads that were so effective in eroding his support in Iowa are now familiar to voters everywhere through cable news, leaving him in a precarious position in New Hampshire, where polls this week placed him deep in the pack.",0
And election officials say a biometric verification process that was supposed to prevent voter fraud may have been compromised by human error.,1
"No nation in Latin America has achieved gender parity in government and, scholars say, the advances by women could be easily reversed.",1
Some legislators have also questioned the Transportation Department's spending.,0
"At least 34 people have declared their intention to run, including top officials of past dictatorships, former aides to Mr. Aristide and a former police chief suspected of drug trafficking by the United States.",0
"And government officials who would speak only anonymously say that Mr. Dimon, faulted in the Senate report for strong-arming regulators, is also losing sway with some authorities in Washington.",1
"Several large companies and business groups have protested the law, and opponents have predicted an economic backlash against the state.",1
Some Republicans say they hear more from the Obama team than they ever did from the Bush administration.,1
"CORRECTED BY THE NEW YORK TIMES FRIDAY OCTOBER 06, 2000 LP  BOSTON, Oct. 3 -- Vice President Al Gore and Gov. George W. Bush presented starkly different stands on issues ranging from taxes to abortion to oil drilling tonight as Mr. Gore repeatedly cast Mr. Bush as a friend of the rich and Mr. Bush upbraided his rival as a Washington insider with big promises and few accomplishments.",0
"Yet Justice Department officials repeated those claims for months, even after it was obvious the figures were wrong, the inspector general said.",0
"To deflect criticism, two campaign officials said they regularly positioned a supporter nicknamed ""Michael the Black Man"" so cameras would show him behind Mr. Trump at his rallies.",1
"Mr. Dimon's supporters, including several shareholders, also argue that he has good cause to be arrogant.",1
"Mr. Lighthizer defended the president's tough tactics before Republican and Democratic senators, who raised concerns about the trade war's effects on American farmers, manufacturers and consumers.",0
A Supreme Court spokesman said a federal statute governed justices in recusal matters.,1
"""We've got this disconnect between black leaders and the black masses.""",0
"One approach these developers have used to weaken the law has been to try to limit its jurisdiction, to say it shouldn't apply to this or that water body.",0
"Now, however, the administration says the plan, which is being called a road map, is not ready for adoption.",0
"The most likely argument for federal review, election scholars said, is that the court order violated the federal Constitution's elections clause, which delegates authority over elections to state legislatures.",1
"Acting on the advice of her doctors, Mrs. Clinton will not go to the State Department this week but will work from home, the State Department said.",0
"American Airlines, which operates charter flights to Cuba from Miami and Tampa, Fla., said it was reviewing the rule changes.",0
"""It's almost unheard of to talk the government out of indicting a client,"" said a lawyer for one of the dealers who had participated in the Washington discussions about the case.",1
Republican Party analysts also note that both Ronald Reagan and the senior George Bush were elected after Republican primaries in which turnout was lower than in the Democratic primaries.,1
"After it lifted off, on Jan. 15, Iranian officials declared it suffered what they called a third-stage failure.",1
"""I would've been frustrated if they'd said it was not a risky endeavor,"" he said.",0
"""It's going on all over the world -- that's what we don't get,"" Senator Lindsey Graham, Republican of South Carolina, said in an interview.",0
But some lawmakers who have been briefed on the secret program say there is no reason the program cannot operate in compliance with the FISA statute.,1
"Some security experts, however, cautioned against drawing conclusions in this case.",1
The agency has not established that the two men had a professional relationship.,0
"And earlier this month, some Tea Party groups objected when Amy Kremer, the leader of the Tea Party Express, a group founded by longtime Republican consultants, told an interviewer that Tea Party supporters would fall in line behind whoever became the Republican nominee for president.",0
"In 1999, when the industry seemed much healthier, a committee of private economists and other academics, set up by the National Research Council and financed by the Transportation Department, called on the government to increase competition.",0
"In a twist on his regular comments on Al Qaeda and the Taliban, Mr. Bush said that ""they can't stand the thought of the president of the United States coming to speak to women who own their own business.""",0
"Drinking water in Newark Public Schools was found to contain high levels of lead at least as far back as six years ago, according to data collected and analyzed then but released to the public for the first time on Friday.",0
"That the United States has signaled its readiness to discard those international guidelines with Iraq that in the end made it far easier for Russia to oppose its partner, several analysts noted today.",1
"Mr. Nelson will file the suit in federal court in Tallahassee along with another Florida Democrat, Representative Alcee L. Hastings, according to a draft obtained by The New York Times.",0
He sought professional help in hopes of finding stability so he could have one more shot with the love of his life.,0
"""The peace process, the issue Dennis really cares about, has a closed-for-the-season sign on it,"" said Aaron David Miller, a former peace negotiator who worked with Mr. Ross in the Clinton administration.",0
"Board officials said Mr. Aquino viewed incidents in which he might have been overruled by supervisors as evidence of favoritism and dishonesty, not just honest disagreements.",1
"Harvard admissions officers pointed out that they could fill the freshman class with students with perfect test scores if they wanted to, and that figuring out which apparently highly qualified students to reject was a delicate, difficult balance.",1
"CAIRO, Oct. 31 -- An old joke here goes something like this: President Hosni Mubarak is on his deathbed when an aide comes to his side and says, ""Mr. President, aren't you going to give a farewell speech to the people?""",0
"One by one, the men and women who had been deployed with him in Iraq and Afghanistan checked in.",0
"But the officials also acknowledged that they were at a loss for other new ideas, and repeated that it was still up to Mr. Arafat to crack down on Palestinian attacks.",1
The president has told people he is determined to win because he believes the economy will bounce back and does not want Mr. Romney getting credit.,0
"As the chief United States delegate to the United Nations, Madeleine K. Albright displayed photographs of the bombs and integrated circuits that American officials said were to be used in a plot by Iraq to assassinate former President George Bush when he was visiting Kuwait in 1993.",0
"Movies like ""Blue Velvet,"" ""Do the Right Thing"" or ""Pulp Fiction"" that succeeded two or three decades ago, the story goes, would have had a much harder time in the current climate.",0
The last variety is anonymous hate.,0
"The judge overseeing the extradition hearings said published evidence so far suggested a ""tenuous connection"" with the attacks.",0
"Even one of Mr. Bush's advisers acknowledged: ""I think he worked hard in New Hampshire, but I think they were all surprised by how hard he had to work.",1
"Long-Awaited Baby Boomer Die-Off to Begin Soon, Experts Say,"" The Onion teased, imagining ""a glorious new world in which no one will ever again have to endure tales of Joan Baez's performance at Woodstock.",0
"Some sick workers in western New York, however, say too many claims are being denied without proper cause.",1
"Echoing other election officials, Mr. Lomax said registration fraud could be sharply reduced if registration workers were all volunteers.",0
He told them that there were two kinds of chancellors in British history.,0
"Indeed, as most apparel brands, high and low, could tell you, the transformation of their customer base from people acting out of allegiance to an inherited group ethos to people acting as individuals motivated by personal desire began taking place almost a decade ago.",0
"It is likely to compel risk-averse British banks to cancel the Russians' accounts altogether, said Brian O'Toole, a former senior official at the Treasury Department's Office of Foreign Assets Control, which administers and enforces American sanctions.",0
"A group of scholars, led by David L. Shern of Mental Health America, argue that the world today needs a new public health revolution focused on young children, parallel to the one mounted for sanitation after Snow's revelations about cholera in 1854.",0
Roughly a dozen Republican senators have declared their support for Mr. Lott.,1
"In El Salvador, for instance, women were not allowed to run for elective office until 1961, the same year that Paraguay changed its Constitution to give women the right to vote.",0
"Many education officials and lawmakers have predicted that an agreement on school governance would come as part of a state budget agreement, since the Legislature has insisted that any deal be contingent on more aid for city schools.",1
"If interviews with two dozen voters in the swing states of Florida and Ohio are any indication, Republicans' efforts appear to have resonated with some members of their own party as well as with some independents and Democrats.",0
"Republicans in the State Senate said they would ask the State Supreme Court to stay its order for new maps, and made it clear that they would try to take the matter to a federal court.",0
He said the Mr. Romney of the debate wanted to put more teachers in classrooms and claimed not to know companies get tax breaks for outsourcing jobs.,0
"The aide emphasized that for many House Republicans that would be viewed as further impetus to cut spending, and not to reduce tax cuts.",1
"""Some will argue that with the election just over two months away, the company could have been more prudent in its timing,"" the Barclays analyst wrote.",1
"Other officials said they had not yet determined whether the hazardous materials licensees were coordinating another attack with the suspected hijackers, operating in an alliance with them, or had no connection to the plot.",1
"In a statement released after the meeting, the White House stressed the areas of agreement between Mr. Obama and the king, saying that they ""reaffirmed the historic friendship and deep strategic partnership"" between their two nations.",0
"Between 4 p.m. on New Year's Eve and 2 a.m. on New Year's Day in the Times Square area, police officers issued 15 criminal court summonses and 26 summonses for offenses like littering.",0
"Outside analysts say that the sharp disputes and deepening divisions between Senator Barack Obama and Mrs. Clinton could, if not resolved, leave some voters disenchanted if their candidate did not prevail.",1
They also said there is a deep suspicion that the outcome of the election is fixed.,0
"The mayor added that he had friends who were happy their gyms were scheduled to reopen on May 4, and that such optimism has made the jobs of elected officials even tougher.",0
Some of Mr. Trump's critics have said that the president canceled a previous working visit planned for earlier this year because of his concerns over protests.,1
"The state's high court has just demonstrated that New Jersey laws are now completely subject to the inclinations of seven appointees and that the voters are sending errand boys, not legislators, to represent them in Trenton.",0
"WASHINGTON, May 16 -- The full Senate and House Intelligence Committees are to be briefed on Wednesday for the first time on details of the domestic telephone surveillance program that the White House has previously described to only a few members of Congress, lawmakers said Tuesday.",1
"Republicans are of several minds on how to attack the red ink, and votes this week on the Senate floor and in the House Budget Committee will illustrate the complex task the party leadership faces in reaching a consensus on taxes and spending.",0
"According to the Economic Policy Institute, it would give 13.5 million more workers a new or stronger right to overtime pay -- substantially increasing both middle-class incomes and employment.",0
"According to the O.E.S., in 1999 there were nearly 53,000 Americans who considered their primary occupation to be that of a musician, a music director or a composer; in 2014, more than 60,000 people were employed writing, singing or playing music.",0
"But Republicans tend to have more deep-pocketed individual donors, like a nonprofit controlled by the Corkery family from Washington, which donated $6.5 million to Judicial Crisis Network in 2014 -- more than its entire budget in 2013.",0
Politicians should be required to disclose their itineraries in some detail and on a regular basis.,0
"More broadly, Australia's growing economic closeness to China -- it is a major supplier of meat, milk, iron ore and other resources to the world's second-largest economy -- has raised concerns among some in the country over Chinese influence in politics and media.",0
"During a recent speech in Los Angeles, the agency's director, León Rodríguez, said that 5,000 people had already applied for the Crystal City jobs.",0
But Pentagon officials said there was little appetite in the Defense Department for a full-fledged American military mission in Syria that would include thousands of additional combat troops.,1
Some administration officials acknowledge that they have few good options to enforce the deadline.,1
"There are far more people with wealth in the tens and hundreds of millions of dollars in the United States -- 39,735, according to Wealth-X, which tracks wealth in the world -- than there are billionaires -- 680 -- who would pay the higher 3 percent tax.",0
"Many academic leaders and health care professionals said they supported the Bloomberg administration, saying the proposal could help reduce runaway obesity rates in New York, particularly in lower-income neighborhoods.",1
"""I was very confident from the beginning that it could work,"" Mr. Pataki said in an interview.",0
Democratic leaders acknowledged that Mr. Obama's speech had probably not shifted any opposition vote from no to yes on the legislation.,0
The president told Democrats that they have let Republicans define the word for too long.,0
"The prime minister believed, the official said, that while talks required more patience, they would bring a ""more durable and more desirable solution"" than any recourse to arms.",1
The rule instead cited recent investigations that resulted in the arrests of individuals who charged pregnant women thousands of dollars in exchange for coaching them on gaining permission from immigration officials to enter the United States.,0
Banking industry officials acknowledge that credit card companies are squarely in the sights of Congress and the White House.,1
"It is far from certain, however, that the White House would be willing to wage a fight against the powerful gun-rights lobby or take attention from competing concerns, like negotiations over the looming fiscal deadline.",0
Fire officials said that they did plan to reduce overtime costs and sick leave but that they thought the aid package would pay to keep the firehouses open.,1
"For the U.S. trade representative, progressive politicians and trade experts are pushing candidates including Katherine Tai, the chief trade counsel at the House Ways and Means Committee; Michael Wessel, a member of the U.S.-China Economic and Security Review Commission; and Tom Perriello, a former congressman from Virginia who is now executive director of Open Society-U. S., a philanthropic group, according to people familiar with the conversations.",1
"But while advocates were pleased with it, they remain concerned that the funding that would make this bill a reality could ultimately fail to materialize, he said.",1
"Mr. Bush, who was born in Connecticut and has family in the state, is making his eighth trip here since the beginning of his presidency, according to a White House spokeswoman.",1
"According to Jacques Herzog, it's pure Miami Beach: ""All muscle without clothing.",0
"Because of the complicated counting, experts expect that just first-choice results will be available on election night, leading some critics to complain that the ""instant"" is being taken out of instant-runoff voting.",1
One current and one former Labor Department official with knowledge of the case said that the department's scrutiny of the work of Ms. Herold's legal team increased significantly after Mr. Scalia took over as labor secretary.,1
"Yet the walls continue to close in, with the scientists' warnings, the Supreme Court decision, the escalating pressure from the states and the general public.",0
