review,sentiment
"An assassination thriller in the mould of Day Of The Jackal, In The Line Of Fire has the added twist that Eastwood's old-timer bodyguard Frank Horrigan is troubled by past failure on the job. The chase becomes personal as John Malkovich's reptilian assassin Leary taunts him over this neurosis - with the rather clunky exception of the love of a good woman (Russo's Lilly Raines) nothing's going to set Frank's mind at rest than taking Leary down personally.<br /><br />Malkovich is a volatile presence - not simply combustible on screen but often a changeable actor too. This is one of his good films, focused and playing director Petersen's game. Eastwood is too old but a) the audience don't care, cos it's him and b) his age is written into the script, not only in the narrative but also as a recurring joke. Pretty much as you'd expect but well-handled. 7/10",positive
"This was truly a great movie. I loved Dennis Quaid and the entire baseball team. Jay Hernandez is also a very likable actor that is very enjoyable to watch. The chemistry the team had once they got things together was spectacular, it just goes to show what you what can accomplish when minds unite as one with one goal. This team came back from the brink, having multiple losing seasons to winning just about everything. I love movies like this as they really are very inspirational.<br /><br />On top of that, Dennis Quaid's character getting a place in the major leagues. You can't do anything, but root for this guy. It just seems like when someone is supposed to do something, they are going to do that. Things just happen to fall into place and makes everything click.<br /><br />Based on a true story, this film will really make you think about the fact that ""nothing is impossible.""",positive
"""Carriers"" follows the exploits of two guys and two gals in a stolen Mercedes with the words road warrior on the hood hightailing it down the highway for the beach with surfboards strapped to the top of their car. Brian (Chris Pine of ""Star Trek"") is driving and his girlfriend Bobby (Piper Perabo of ""Coyote Ugly"")has shotgun, while Brian's younger brother, Danny (Lou Taylor Pucci of ""Fanboys"") and his friend--not exactly girlfriend--Kate (Emily VanCamp of ""The Ring 2"") occupy the backseat. This quartet of twentysomething characters are living in a nightmare. Apparently, a viral pandemic--which co-directors & co-scenarists Alex Pastor and David Pastor tell us absolutely nothing about--has devastated America. Naturally, the lack of exposition shaves off at least fifteen minutes that would have slowed down this cynical melodrama about how humans degenerate in a crisis and become their own worst enemies.<br /><br />This lethal virus gives you the shingles and then you bleed and die. Most everybody runs around wearing those white masks strapped to their nose and mouth by a thin rubber band. Initially, this foursome encounters a desperate father, Frank (Christopher Meloni of ""Runaway Bride""),and his cute little daughter Jodie (Kiernan Shipka of ""Land of the Lost"") blocking the highway with their SUV. Brian swerves around Frank when he tries to waylay them, but in the process, the oil pan in their Mercedes ruptures and they wind up on foot. Reluctantly, they hitch a ride with Frank after they seal Jodie up in the rear of the SUV. She wears a mask over her nose and mouth and it is speckled with blood. Frank has heard that doctors are curing ailing people at a hospital and they head to it. Sadly, somebody has lied to Frank. The hospital physician is giving the last couple of kids some Kool-Aid that will put them out of their misery. The cure did not improve their condition. Everybody else in town is dead. Kate tries without success to get a dial tone on every phone. Frank realizes that there is no hope for his daughter and he lets the heroic quartet appropriate his SUV and take off.<br /><br />Indeed, ""Carriers"" qualifies as a relentlessly depressing movie about the effects of a pandemic on four sympathetic people who degenerate into homicidal murderers to protect themselves. They reach a country club and frolic around on a golf course until another four show up in suits and masks with pump-action shotguns. Incredibly, our protagonists manage to escape without getting shot, but Brian has a scare when he almost falls into the water with a floating corpse. Eventually, they discover that one of them has become infected. Later, as they are about to run out of gas, Brian blocks the highway like Frank did at the outset. Danny tries to stop a pair of older Christian women driving the car. Danny lies that his pregnant wife is about to give birth and he needs their help. Brian throws caution to the wind and blasts away at the ladies with his automatic pistol when they refuse to help them. Brian catches a slug in the leg from the passenger, but he kills her. <br /><br />No,""Carriers"" is not a beer & pizza movie that you can either laugh off or laugh with because the humor is virtually non-existent. By the end of this 84-minute movie, our heroes have turned into villains who only care only for themselves and their plight. Chris Pine makes quite an impression as fun-loving Brian and his energetic performance is the only reason to hang with this hokum, while the only other well-known actress, Piper Perabo, is relegated to an inconsequential girlfriend role. As Bobby, she makes tragic the mistake of showing compassion to a dying little girl and pays an awful price. It is a testament to Pine's performance that he can change his character to the point of putting himself before others. Essentially, Pine has the only role that gives him the ability to pull a one-eighty from happy-go-lucky guy to heartless guy. <br /><br />The two directors are Spanish brothers, and they never let the momentum flag. Since there is no relief in sight, ""Carriers"" sinks into predictability. ""Irréversible"" cinematographer Benoît Debie does a fantastic job with his widescreen lensing and as unsavory as this road trip becomes, Debie makes it look like a dynamic film. Aside from the lack of a happy ending or closure in any sense of the word, ""Carriers"" suffers because it is so horribly cynical. The scene when the German shepherd attacks Danny conjures up the most suspense, but even it could have been improved. Unfortunately, the Pastor brothers do not scare up either much tension or suspense. By fade-out, you really don't care what happens to anybody.",negative
"I'm sorry to say this but I didn't enjoy this movie at all. It was just too boring. So boring that I couldn't watch the rest of it. It's not as interesting as the Lion King or Aladdin. That's why I hate this stupid days because these days are just not what they used to be. The movies that Disney have released lately really sucks! I miss the old days when they used to produce good movies like the Lion King, Aladdin, Pocahontas, Cinderella, The Aristocats, and Robin Hood. This movie is really awful. I really tried my best to be interested in this movie but I just couldn't. I don't think I could recommend this film to anyone. I would recommend the ones that I just mention above.",negative
I wanted to see this movie ever since it was first advertised on TV. I went to Tinsel Town to see it Last Night at 7:40. I regret the day that wasted my ticket on this trash when I could of saw something better. The beginning was all a bunch sex trash and cliches. They exaggerated the way love works in reality. All of the girls were stereo types. The boyfriend was too stupid for his own age. The passing gases that the pregnant girl kept having barely got any laughs. The bank robbery was completely boring with gags that have been used in other movies. Their getaway car was an old beat up Chevy van that they claimed that had no breaks. Hey why didn't they get nice girlish vehicle for the robbery instead? It might have boosted the audience opinion about the movie. This movie was very low low low low low budgeted since nothing in there was damaged or destroyed. This movie had a lot of stuff in it that would drive Christian people nuts. Hey I even expected a car chase scene because all bank robbing movies have car chases but I but there was never any. So I rate this movie b which stands for low budgeted and 1 out of ten stars.,negative
"""The Invisible Ray"" is part science fiction and part horror. It was also the third of seven Karloff/Lugosi features. In this entry the dominant role goes to Boris Karloff.<br /><br />Through specially designed astronomical equipment, Dr. Janos Rukh (Karloff) demonstrates to colleagues Dr. Felix Benet (Bela Lugosi), Sir Frances Stevens (Walter Kingsford), his wife Lady Stevens (Beulah Bondi) and their nephew Ronald Drake (Frank Lawton), that a meteorite containing a powerful element, landed on the African continent many millions of years in the past. Rukh impresses his guests who invite him to accompany them on an expedition to Africa to find the mysterious element.<br /><br />Rukh goes off on his own and discovers the place where the meteorite landed and the element which he names ""Radium X"". Due to Rukh's long absences, his comely young wife Diana (Frances Drake) becomes attracted to Drake and the two fall in love. Meanwhile Rukh becomes contaminated by Radium X to the point that anyone he touches will die instantly. The contamination causes his skin to emit a bright glow in the dark.<br /><br />Rukh goes to Benet for help. Benet devises an antidote which if taken on a daily basis, will provide temporary immunity to the element. Unfortuneatly, the deadly element also affects Rukh's brain, slowly turning him into a vindictive murderer.<br /><br />While Rukh is continuing his work, Sir Frances takes news of the discovery back to France. Diana and Ronald accompany him. When Benet informs him of this action, Rukh accuses the party of betraying him and his discovery and secretly plans his revenge. When he returns to France he learns of the healing power of Radium X as he cures his mother's (Violet Kemble Cooper) blindness and of Benet's work in curing the maladies of his patients.<br /><br />But Rukh's madness intensifies. First he murders an innocent man whom is identified as Rukh. Upon hearing of Rukh's apparent demise, Diana and Ronald marry. This angers Rukh and he begins to exact his revenge on the five other members of the expedition. One night he is lured into a trap set by Benet and...........<br /><br />Karloff is excellent in the lead role moving from a happily married ambitious scientist to a raving maniac. Lugosi has a straight role for once and does what he can with the limited part.<br /><br />At 79 minutes this film was the second longest of the six Karloff/Lugosi collaborations. Karloff's film all the way.",positive
"Mitchell Leisen's fifth feature as director, and he shows his versatility by directing a musical, after his previous movies were heavy dramas. He also plays a cameo as the conductor.<br /><br />You can tell it is a pre code movie, and nothing like it was made in the US for quite a while afterwards (like 30+ years). Leisen shot the musical numbers so they were like what the audience would see - no widescreen shots or from above ala Busby Berkeley. What I do find funny or interesting is that you never actually see the audience.<br /><br />As others have mentioned the leads are fairly characterless, and Jack Oakie and Victor McLaghlan play their normal movie personas. Gertrude Michael however provides a bit of spark.<br /><br />The musical numbers are interesting and some good (the Rape of the Rhapsody in particular is amusing) but the drama unconvincing and faked - three murders is too many and have minimal emotional impact on the characters. This is where this movie could have been a lot better.",positive
"""Nicodemus"" is almost a copy of ""Red"" in the odd behavior sense, but this episode focuses on other people in Clark Kent's unpredictable life. When a poisonous flower finds it's way into Smallville Jonathan Kent is the first to be effected by it. the flower causes people to reverse their behavior and when it effects Jonathan, he becomes short tempered and violent, however Clark manages to stop him from doing anything rash until his father finally passes out. okay. so far, so good. next up is Lana. the Episode was good up to that point, for the flower causes her to attempt seducing Clark. at the last moment, he refuses her but the damage has already been done. this episode causes the wrong impressions and isn't suitable for people under the age of twenty, due to it's adult content. the first part was good, the last part (focusing on the effect the flower has on Pete) was good, but the middle that was all about Lana's alternate personality, was most defiantly not, and that ruined what could have been a brilliant Episode. I give this Episode two.",negative
"Hilarious show with so many great stories, that it reflects the world today as we know it, in such a funny way it literally stole my laughters for other shows. I laughed so hard that I just found any other comedy shows unfunny. The unique confessions of each characters is a great original technique that just makes the show funny and very humorous. You may think that this is an average comedy show about hard life with a family. That's what I thought at first but I found out that it holds new and unique techniques that completely sets it apart from any other average comedy show. Michael Rapaport is a star. I sure wish that this show wasn't canceled.",positive
"""The Intruder (L'Intrus)"" is a visual pilgrimage through a mysterious life. <br /><br />Grizzled Michel Subor plays ""Louis Trebor"" like Jason Bourne as an old man with a hidden past, living simply in an isolated hut in the woods for justifiably paranoid reasons (but attracting pretty young women who can be useful to him). We learn more about him through dreams, flashbacks and a journey that may unfold chronologically or not, as well as through his brusque interactions with family, lovers, business associates and a striking nemesis. Like ""The Limey,"" the film resonates with parent/child regrets and a suspicious past revealed through clips from an old film with the same actor as a young man (here Paul Gégauff's 1965 adventure film ""Le Reflux"").<br /><br />In a complete contrast of moods, we meet his son Sidney (Grégoire Colin) who has to be the sexiest house husband in the world, as he sweetly and seductively does household repairs and cares for a baby, a toddler and every need of his working wife. Surely director/co-writer Claire Denis must have created him as a woman's fantasy if ever there was one and a lesson to other filmmakers on filming foreplay. There's an additional extended scene where he seeks his father in the woods while carefully carrying his angelic baby in a pouch. He is everything his father is not and has every relationship his father is incapable of sustaining; no wonder he thinks his father is ""a lunatic."" I spent the rest of the film in dread that something bad would happen to him as the true nature of the heart of his alienated father is very gradually played out before our eyes.<br /><br />The film is a puzzle, but Subor is ruthlessly fascinating as we watch him traverse countries and negotiate nefarious deals, and the voice-over narration for Denis's ""Beau Travail"" was annoying anyway. We have to figure out from skylines and incidental signage that he is traveling to Geneva, Korea and the South Pacific. Time passing is indicated by the seasons changing and scars being created and healing. There are lots of images of water for cleansing and for distancing. <br /><br />Continuing her fascination with the morphing of colonialism into globalization, as well as playing a bit on stereotypes of the Mysterious Orient and Russian criminals, Denis has incorporated elements from Robert Louis Stevenson, Paul Gauguin and Marlon Brando's Tahiti idylls and a 40-page memoir by French philosopher Jean-Luc Nancy, the last for the title and heart-transplant plot used for an ironic theme of limited immortality which does have consequences.<br /><br />While ""Louis"" thinks he's succeeded in being above boundaries, rules and morals, there is some amusement in the last act as the locals don't quite know what to do with him and try to help him solve his quixotic odyssey, even as he again lies in isolation.<br /><br />Several people in the audience left in frustration at the elliptical, but strikingly beautiful, story telling method. The unconventional narrative does raise a lot of plot questions on details.",positive
"After going to sleep out of sheer loneliness, Lestat wakes from a 100-year sleep to the sounds of a new music he wants to be a part of and the band ""The Vampire Lestat"" is born. His longing to end his loneliness and his ""living in the light"" attitude along with his music, anger his fellow vampires and awaken an evil that has been slumbering for thousands of years.<br /><br />This film is not for those looking for a true book-to-film adaptation. Those who have read the books and expect to see it on the screen are in for a huge disappointment. This film will appeal to those who really enjoyed the ""Interview With the Vampire"" film.<br /><br />There are a few plot holes and incongruencies, but as a whole, this film was satisfying. Stuart Townsend portrays Lestat with a sensuality and sexiness lacking in the previous film. The relationships portrayed in the film were very sexy and sizzling.<br /><br />As a film, the story compels you and draws you in. Casting is wonderful. Loved this story and film. If you like simmering sensuality and sexual tension you'll love this film!",positive
"If this movie were any worse, it would have been directed by Uwe Boll. This nonsensical mess makes Ed Wood look like Hitchcock. It has been a while since I have seen this steaming pile , but I do remember that I wanted to do grievous bodily harm to all those involved. How anyone can give this movie any more than 1 star amazes me to the graciousness of all those that viewed this tripe. I give it one star because there is not a rating lower. All copies of this movie should be burned the ground sowed with salt and reserved as a landfill for the most toxic of waste. No, one copy should be kept under ultra hi security and shown only to film makers as an example of how not to do it.",negative
"This is a movie about how men think women think about love. No woman describes a one-night sexual encounter and declares it a love story.<br /><br />Of the ten monologues I felt only three really had any kind of truth ring through them. I kept waiting for the film to get better, and it did a bit, but never better enough.<br /><br />This is an interesting concept, and I kept wanting it to be good, but it never succeeded. Maybe if they actually WERE love stories it would have worked.",negative
"Karen(Bobbie Phillips)mentions, after one of her kids gets out of hand with his lame annoying jokes, that she'll never survive this trip..boy, is she ever on the money. Karen is a school teacher taking her group of kids from the Shepley College of Historical Studies to the butt ugly locale of a run-down manor in the major dung-heap of Ireland..surely there are places in this country more appeasing to the senses than this?! The caretaker of the manor, Gary(Simon Peacock)warns Karen and her students to stay on the path and not to stray into the forest. There's a myth regarding the Sawney Bean Clan, a ritualistic druid cannibalistic inbred family celebrate Samhain(the end of Summer, October 31st)""Feast of the Dead"" where sacrifices are needed to appease the spirits. Gary is supposedly clairvoyant, his cousin Pandora(Ginger Lynn Allen)tells us, because he was born on Samhain. Funny, because he sure doesn't see outcomes well or even give advice accurately. Nearly everyone dies(..even those who never stray from the path)and he doesn't even see his own gruesome fate. What this monster we hear breathing is a victim of way too much inbreeding..it's face resembles a malformed mushroom and it looks like a hideous reject from a Mad Max picture. It doesn't take long before the ""evil breeder"" is killing everyone. Paul(Howard Rosenstein)is Karen's love interest who made the wrong decision coming to Ireland without his girlfriend's prior knowledge.<br /><br />Horrible formula slasher doesn't stray from the norm. It's minuscule budget shows loudly and the characters are assembly line clichés churned out yet again to be slaughtered in the usual gory ways. Most of the violence flashes across the screen quickly with not much dwelling on the breeder's acts of death towards his victims. Lots of guts get pulled out during the fast edit cuts as one scene whisks to another. Seeing Gillian Leigh's gorgeous naked body for a moment or two isn't incentive enough to recommend it. Phil Price has the really irritating trickster character, Steve, often shedding bad jokes..how he is able to get Leigh's Barbara naked in the shower for some action is anyone's guess because I have no reason why he'd stand a chance with such a hottie. Brandi-Ann Milbrant has the fortunate role of Shae, the quiet virgin smart girl(who is also quite hot)who we know will be the one chosen by the screenplay to survive. Jenna Jameson drops by long enough to get her heart cut out of her chest(at least we see her breasts momentarily before her chest is opened up)with a few minor lines about two missing friends she's looking for. The film's main problem is that the story and character development grinds to a halt because it's realized that none of them are at all interesting so director Christian Viel just lets loose his monster to run rampant causing carnage, obliterating an entire cast almost in one fail swoop within ten minutes. Oh, and Richard Grieco has a minor opening cameo as a victim who strayed off the path to tent camp with his chick.",negative
"I remember watching this movie on TV a few years back. It was so bad, I can only remember the scenes that just made me die laughing. The only plot summary I can give you (without any spoilers) is picture a home movie made by college kids who were high.<br /><br />(Spoiler alert starts here...) When the movie starts, a guy's running, being chased by the ""Demon Cop"", when in fact, the man was really being chased by a Halloween costume gone wrong. A car pops out of nowhere, hitting the guy who was running. It sends him flying over the top of it, and what does the driver do??? Watches the man as he falls, gets back in his car and drives away. What kind of hair-brained dolt would do that? I would've at least asked if the guy was okay.<br /><br />Then, some black guy stares the Demon Cop straight in the face, then, later tells reporters, ""I didn't get a good look at him."" My sisters and I, by then, were almost choking ourselves to death with laughter.<br /><br />Then, there's some scene in an alley, where this girl with an afro, pulls a machine gun out of her teeny-weeny little purse. It couldn't have possibly FIT!! I can hardly remember certain scenes. Maybe it's because they were just that bad.<br /><br />Cops in the film can't even jump a fence, and the acting is so wooden, it makes planks of wood look like better actors.<br /><br />All in all, this movie brings shame to Hollywood, way more than any other flop could. You have to see it to believe its sappy cheesy plot, which it has none of, as far as I can tell.",negative
"I think it's the sort of film you either love or hate and I'm really not the type to go in for arty movies. My mother rented ""mullhuland DR"" the other night and I nearly ran from the room, ha. But I love this film.<br /><br />We recorded ""The Beat"" one night when we had just let the tape run and got a great film that way by accident. Saved that tape and watched it a lot. I eventually got the VHS to add to my collection. I've watched it many times and at one point copied down the poems. I even tried to preform one scene for my high school drama class. She had said we could do any scene we wanted and just cut out the bad words. She refused to let me do it. If it could upset my drama teacher that much it has to be good :) Honest she never treated me the same after that.<br /><br />I liked the acting it came off very true and honest. It wasn't clean and polished but it was better than that. It was true to life, how anyone would truly behave and display emotions not how Hollywood does. It was great acting especially by the one playing Rex.<br /><br />The story was original. Not only do the characters get drawn into his world but you do too. Not your typical person meets inner city kids and saves them through knowledge film at all. Simply caring and friendship make things a bit better.<br /><br />The only thing is that even in the 80's there was more gun violence and less simple stuff like rock throwing but that little bit of innocence didn't hurt this film.<br /><br />I think it's a must see. you will either love or hate it but either way it makes an impact and that makes a good film that you will remember and talk about later.",positive
